Station ID,Empty Slots,Available Bikes,Total Slots,Proportion of Available Bikes (%)
6eaa02e5bcf78db5386683d38fa2dabd,12,2,14,14.0
983e58671adcc67af94457d7887dbb15,37,1,38,3.0
797ff1725f8d2b18337de51e240ff60d,15,11,26,42.0
277b4b4881bdb7dac73012672179def8,5,9,14,64.0
e1ff428dadc7c32141b9d89a7b56728a,8,10,18,56.0
012d3e06901cc222b1c2cf0a2ace3a29,11,3,14,21.0
a6455af6b689bcbad07ae2c8a3419b50,5,7,12,58.0
475627e149c1a6ba73caac8d8d2fa617,3,11,14,79.0
f387ec226c432c5c054e3d3616d90501,8,4,12,33.0
1675a77b9af656faf527b4e6de53e63b,5,9,14,64.0
1bca0e944a4faf170db82793414b03ab,9,7,16,44.0
d0782213f003ce9eb276fbceff44f1f4,8,6,14,43.0
1ef01f2f89621d51afbabaa6296e55be,6,8,14,57.0
c47a1f62ea461ce1c9f3e2478c657df6,12,4,16,25.0
0cee06d7d10f7d3162cea03d22b7beed,11,3,14,21.0
f62bc2bfe9a0a563d5b6745ce6d962ba,11,5,16,31.0
1c8f7fd6535db12cc45cfc59aa9da058,9,3,12,25.0
17a3320a52bcc62161908967f8a06613,9,11,20,55.0
aed214941445e0345aa3254805a9e8b8,8,8,16,50.0
d67640af1b3b3b3ce47169dbc9182470,13,3,16,19.0
b2c6aaf2b4fa8937bfe3941c038683aa,8,4,12,33.0
0a43242bee10cd33f539af2c1bf5ecbf,11,7,18,39.0
198810b9b0af5d229d1b6fa12c620e06,6,10,16,62.0
d02e2eaafda91425eddd24d8acd328ab,0,14,14,100.0
08c7a90bf297fde8c1f1156db13987d4,14,2,16,12.0
97005696a3dff3366a8410b817388990,1,13,14,93.0
c52e51e3288a00993bdf892fdc2c2c2c,8,8,16,50.0
7d231a181d21056e4ba80c4d9939fe92,8,8,16,50.0
dcf3d5c9f1b3a46f0ef2eb2247931f89,11,5,16,31.0
9bee3167f10c884044cea0d36afcd1ef,15,1,16,6.0
45a4c865db23e1cad0209afa5a799de0,33,5,38,13.0
fe0c57d04d6e682d284d501446095fc9,8,8,16,50.0
b10d422b045805f1c350c47c983381e8,7,8,16,50.0
4e8fdc99e77ba1b70d90e124a704d0c1,1,15,16,94.0
b562f08327af465e4531e20226789489,9,13,22,59.0
4ac99b928a91d8ccb785c9d0b805adb6,17,3,20,15.0
99c81f71db35911c79a86a1c5edc5604,11,7,18,39.0
e12234b6f1299d178f34bffaca92f043,20,8,28,29.0
5a34495280727a5b50b9aa41e14e9a16,13,1,14,7.0
9130f9aa3bb037a04c17e6f2630327e5,9,13,22,59.0
9a48ca226f82f52d02707b054ebc7e9e,3,9,12,75.0
b3bb9f58d3530d33a1a09b6be9e973e0,20,4,24,17.0
c2f4e05c01ea0d27934ac7dbc50cbd0c,10,10,20,50.0
9a5478470b56379c31cf4e671584d5cc,7,13,20,65.0
257715b845828e027ff35dd0f11c971e,3,21,24,88.0
910027847876403b57f1013c16504688,18,4,22,18.0
06487275cd19694152824c7c3088e8ff,11,15,26,58.0
b428c0e64d9b9fdb3bf8e85c95ffdf6b,12,2,14,14.0
d085c6749a32517e1fb0d070e4128402,10,8,18,44.0
a6aec7b8c25da4c02829cd7839b8933d,16,19,35,54.0
c924f6a41b130fad49cfae47271314bc,13,9,22,41.0
8e93d0da1ee6caadf21ed9575b5fa9da,12,10,22,45.0
9413725a5d3bb5ce2ad0682b07a3ffab,14,4,18,22.0
7ed043a19e6a4ece742fe747b663bdbf,5,13,18,72.0
ce5dccf5a0f190bb4567a2fd93e7971e,10,10,20,50.0
844aa75af0d3235a86ff827c81395afd,12,10,22,45.0
1d442ad1a71774c82688a45954e47bfd,15,3,18,17.0
2781435bde344e1b64f1bebac6bc9008,8,6,14,43.0
e9b37f2d9b7b2e2e3ade73f13acb69b2,8,6,14,43.0
fffd87607aaae16fbb1f71615cbe7d17,11,7,18,39.0
da8b6e94f90ad41a3f8de10596992372,18,2,20,10.0
32f70f7ae14ba87523c6286a6c4d5c37,18,2,20,10.0
df5ab349a7a85d4b10da4cc3ec65c607,17,4,22,18.0
e0318460138ffbf4692005d5b5a9f900,13,1,14,7.0
db51c556fe50ec1deefbc9697c70cb51,12,8,20,40.0
58a026f0c506caec20697a4f90538450,10,6,16,38.0
0e0aef6fabaa808b3a3cef24657257a4,15,3,18,17.0
90c746df94ce1a12f1f617acfe4a8ce3,21,5,26,19.0
80b5c12ef21fd47275d37b2c9935249c,15,5,20,25.0
899f59a9994302e8e1e4be01117ef707,20,4,24,17.0
8d2d5bb3b9142f781f2a7f441e6bad7a,2,12,14,86.0
5de0fe55497681d4cc9dd25509cf51ab,8,16,24,67.0
2681455ba2d97283998a806b14d3e95c,2,16,18,89.0
064a7b39b1dbc4bfc4cf8f454e360c57,16,6,22,27.0
9c1397c06e07bf74fc049f1a0872eea0,13,5,18,28.0
c64ee19c62a363019ddbaedf71df2882,14,2,16,12.0
421516af381a11f54d07fc79be68d3d3,11,3,14,21.0
38f045e3f43f86eae42ca4c60257ade0,9,9,18,50.0
5ba6e9725b1b0ee8cd25df976e47726b,6,14,20,70.0
f90ed7ad754ec04b7852941a480a4c77,10,6,16,38.0
abfaf72456a4828a22f5bf60d3a80777,5,11,16,69.0
2ff7eb4230654603592ab1b0780ec5e1,8,8,16,50.0
ea9485fcdce0611243474d000e4ad248,16,8,24,33.0
671ce9e4a92063620f772d2c57f0f3ab,22,1,23,4.0
41a55a7e2908fbbd65175b794d26bc8d,11,5,16,31.0
a59924f0ff3fb481a7bd8a5e9c36858f,9,7,16,44.0
89a0b49a66e54a7639ad960962148a3e,11,5,16,31.0
44fc3d58831a9f2b919c7a3a1838b74a,11,7,18,39.0
d40db8c27c5bd409d57cfa846f73c378,19,15,34,44.0
4990fe5772f3b73eebeec125b41e478e,23,1,24,4.0
bf96df77771ef0ed710d8e0e67917f45,15,8,24,33.0
e75e83499d3fa2e174dc2a8ffd238119,5,25,30,83.0
0438114d2e6b96118de69bc9775bb21e,13,11,24,46.0
07b13214cb69f2ec007d888450f3d6bc,9,5,14,36.0
f5e8fa1fc4252bda2f93dd27ed2d603f,2,16,18,89.0
c2a9c5d0e4578b928554c86f3d2c1162,3,11,14,79.0
5f45325fdd6334a4c0d3b62853b19fa6,17,2,19,11.0
085a0e120a08a80a58c0ae0ff9da565a,9,8,18,44.0
8d5f47f01d7ad668419dfe9b7fe69c9a,13,5,18,28.0
bede4b24dae115d4cd43d2e6cc9812cb,7,6,16,38.0
680b1ddfd50c4397b365c9c00f09b0d1,11,7,18,39.0
b26f83e904f3a778466ebcd763b7316a,20,0,20,0.0
6620c54bd6b3a79800b2b67e999b24d0,7,9,16,56.0
7f091b50fbbd892bf9fb869a64c47120,15,5,20,25.0
57d39a680c9407cda0fb4de6d9c55138,12,8,20,40.0
97388f4e4ea102a30345524bda465f4e,5,7,12,58.0
066ecc3584913fa035ec1417323beb80,8,14,22,64.0
b530d04d393d71cffb8b8b07f4a82380,18,2,20,10.0
06bdc4d55f34b2a491305534fd5defda,6,10,16,62.0
8e44a17d2fa446ca220b90c7063b42ca,8,10,18,56.0
7c17f51469f1a7145455f65ef6afbd87,11,7,18,39.0
e1432b72df561a1df34290679ec9c773,12,4,16,25.0
549f00f6039e8bb702a00dcca08a8ed0,18,0,18,0.0
d8c4fe5e09b6f010fbaa85cc7302d66b,21,1,22,5.0
0c42f45e4a14957ad4a6d521d0ba8bc3,3,23,26,88.0
62a202eb98c0a4b09ba6746f5ee94ab3,16,2,18,11.0
a6c6df138cbc97b9f81e7ffbbebdde6f,15,9,24,38.0
04f64fde5ba1ebde8ad78c74914adb34,10,8,18,44.0
