Station ID,Bars - All,Restaurants - All,Shopping - All,Education - All,Arts and Entertainment - All,Total - All Venues
1d4153659a0a0a2089078c739df6737d,1,5,3,2,3,14
fbb4c06b719596c21f91fd51ef6d4710,0,1,1,0,0,2
72c1049dfbbde7c24ec45c14f1a5ee85,0,0,0,0,1,1
00fa94ad698dc4a9e4d708d6fd32f294,1,0,0,0,0,1
efa947b901a2cf85b58320b3ad26a2fe,0,0,0,1,0,1
66a53e9c32e4f5c724f9478240020142,0,1,2,0,0,3
97b25faf822b93fdbf72da1d594c0288,1,6,19,1,7,34
6c7fb9043e6df5a4cc50404581a947b9,3,11,31,5,5,55
30bf49544b1c864688b78172d42cca5e,0,0,0,0,1,1
9f63cebac9073eac3e90be2b9a91b02b,0,0,0,0,0,0
9aa325529164ec68b4d96c4f1c4fc7c1,0,0,0,0,0,0
e3d32ad772a5898c3b96c4d23d2cd542,0,0,1,0,0,1
625a2ad202275c8e2be3ce868e85b105,0,0,0,3,0,3
6c0de983fb47a3439a9e3c36a3d15804,1,4,18,4,5,32
92c9e62c0b42adf4759c430009d3987a,0,3,26,2,0,31
51e4d3731aebbf9c3186f310a08de6c8,0,1,1,0,0,2
826af7eee4ce28b6fa4b4f0211305792,0,0,13,0,2,15
4cb84c9a3743287019ae00ceef9a1cd3,0,2,2,2,0,6
56fef9ba0af67a4ff3e661a8e02c0b08,0,1,2,0,0,3
c81f75a80312c51ceaef1304beac1990,0,0,0,0,0,0
afacb2133f2462aba7748cc21b71c788,0,0,0,0,0,0
a9f0b06d07f89b75e92c0cf686223aea,2,9,12,3,1,27
686b314a6c3348efd2297d6b3dfed1a7,0,16,13,0,3,32
0d1b5c62f8d22e3650811df55596e25b,0,1,3,1,1,6
521c2122c791ed038168c3b8ff24061b,0,0,1,0,0,1
838d5bb59963474ad08a6d5b156943ed,3,21,15,2,0,41
b9ab6ce009eda6006ade1d7568d9db9c,0,0,0,0,0,0
9ec4163496363b31ab475cb851b57b21,0,0,0,0,0,0
fedff7a263c182df94bda7307059cc52,1,2,3,2,1,9
b9baf685b7053de899bf3467f61c2781,0,16,37,0,0,53
8d6f0cbf7d44d2908c8ce73ed00dbf66,1,9,15,2,0,27
988f8f74c4a12d1a30ddf2f7cd6318f8,0,0,0,2,0,2
2f09a64507cf6257c67ca20af27339eb,0,0,0,0,2,2
73f388336d879bedc962cd412eb0296e,0,0,1,1,0,2
cb6fddfdac7d350d25be475c7ab9e05a,1,2,1,2,2,8
cadc004f0903ef45e898032143c0832f,0,0,0,1,0,1
57e928d8c30fab0ebffb3ede850f89d6,0,4,3,1,1,9
6526a2eb3832f9ba0224d237e901ea5b,0,0,0,0,0,0
e44c2235dd603dbee54fe08f7543e85a,0,0,0,0,0,0
3596b4831ee2ea7812de753b32306835,1,8,18,0,0,27
c448b73d92f7f8e1daafb3b9c5fbe6a6,3,8,5,3,1,20
5fc29e0ac42c11abb45bf12aaeb925bd,0,0,0,0,0,0
61901a235d4cfceb7f8f2c3888b98617,0,1,3,1,0,5
175a074bf65455d1633639511dc129c8,3,6,6,0,2,17
35eb539fb9298bb7e4f6759ca0256505,0,1,6,1,0,8
7b8dfa12900bcb02b47a14e4e5010ba3,0,1,3,0,0,4
b30ed0719dd281867a4d39779c78b58a,0,0,0,0,0,0
e1a4d91fdae7e18483373f648141e53e,3,21,11,1,2,38
ace20c241ee38643c9060f290b215b9d,0,0,6,0,1,7
3aed670ccdcd94b966c0f505f8b028c7,0,0,2,0,0,2
ae69aeab748d02e5a7d89da28a1a8511,0,1,1,0,1,3
0c9ad3e3703e5869b82619ecdf54f43e,0,2,13,2,4,21
852212d6d52b5f00544fad01d21c7db2,3,20,8,1,4,36
f3708906ec71348f5a42579fede36a0d,1,4,9,0,2,16
d145b7498709289702095a4a2fcb2e03,0,0,0,0,0,0
9449a6a83fbf88452e384350e5ac95b7,5,17,3,0,0,25
365da33e9ce06ea53db1173a0f8eae71,0,1,1,2,0,4
707c1c54e0278fbae5d0ae3c42a25b71,2,8,9,5,2,26
5105df3dd0daf4c26980f4134f61e5cc,1,4,6,2,1,14
82c794442f54fabf9db6e392ca1fac0f,0,0,0,0,1,1
2ca388bba54706770900ca2a9d7aa5be,0,0,0,4,0,4
e7bf01431a6982f032996ad50a9e5bd7,1,8,7,0,1,17
1648ead5ea617d2cea115869d9516f5e,0,0,2,0,0,2
91035fe1d70b65c9cb8ec4a007af7c7f,1,2,7,0,0,10
d3aaff4414a8c3fd5480c470f77ff68a,0,0,3,0,1,4
b307709b305dd04328fbbf2c6db86419,0,0,3,0,1,4
e9c4bd1fffbb1e5b058b8ea15f7307f6,0,0,5,0,0,5
bb0847559ce71c93d8215c0997ea2811,0,0,0,3,2,5
1ef5c4ff3f0b09422bb1597fd9d7568b,0,0,9,1,1,11
ac3b8198f03754a0afb8b6ed6d220cdd,2,19,13,0,5,39
029a505bd4422a1afd127987757f71a6,0,1,5,3,1,10
0459b7e93703980b853cd65a9dc60596,0,0,0,0,0,0
a21f40838346e300063bdda3c5c04105,0,0,0,0,1,1
209fb233aff275020a640c8c40a18d90,0,0,0,0,0,0
6b1622540fe5c85d365754dd8c20bf0c,4,23,22,0,1,50
ebc551adb0fc1a684f4080e4954a9ba4,1,13,17,0,1,32
6eaa02e5bcf78db5386683d38fa2dabd,0,13,15,0,0,28
983e58671adcc67af94457d7887dbb15,1,5,1,0,0,7
797ff1725f8d2b18337de51e240ff60d,0,8,12,6,4,30
277b4b4881bdb7dac73012672179def8,0,0,0,0,0,0
e1ff428dadc7c32141b9d89a7b56728a,0,1,0,5,0,6
012d3e06901cc222b1c2cf0a2ace3a29,1,1,5,1,1,9
a6455af6b689bcbad07ae2c8a3419b50,0,0,0,0,0,0
475627e149c1a6ba73caac8d8d2fa617,0,0,0,2,0,2
f387ec226c432c5c054e3d3616d90501,0,0,1,0,1,2
1675a77b9af656faf527b4e6de53e63b,0,0,1,0,0,1
1bca0e944a4faf170db82793414b03ab,1,6,10,0,1,18
d0782213f003ce9eb276fbceff44f1f4,0,0,1,0,0,1
1ef01f2f89621d51afbabaa6296e55be,0,0,0,0,0,0
c47a1f62ea461ce1c9f3e2478c657df6,0,0,1,0,1,2
0cee06d7d10f7d3162cea03d22b7beed,1,4,2,1,1,9
f62bc2bfe9a0a563d5b6745ce6d962ba,0,3,1,0,0,4
1c8f7fd6535db12cc45cfc59aa9da058,0,0,0,0,1,1
17a3320a52bcc62161908967f8a06613,0,0,1,0,0,1
aed214941445e0345aa3254805a9e8b8,0,1,1,2,0,4
d67640af1b3b3b3ce47169dbc9182470,0,0,0,0,0,0
b2c6aaf2b4fa8937bfe3941c038683aa,0,0,0,0,0,0
0a43242bee10cd33f539af2c1bf5ecbf,0,0,0,0,0,0
198810b9b0af5d229d1b6fa12c620e06,0,2,7,0,1,10
d02e2eaafda91425eddd24d8acd328ab,0,0,0,0,0,0
08c7a90bf297fde8c1f1156db13987d4,0,4,4,0,1,9
97005696a3dff3366a8410b817388990,0,0,0,0,0,0
c52e51e3288a00993bdf892fdc2c2c2c,0,0,4,0,2,6
7d231a181d21056e4ba80c4d9939fe92,0,0,1,6,0,7
dcf3d5c9f1b3a46f0ef2eb2247931f89,0,0,0,0,1,1
9bee3167f10c884044cea0d36afcd1ef,0,0,0,0,0,0
45a4c865db23e1cad0209afa5a799de0,0,1,0,0,0,1
fe0c57d04d6e682d284d501446095fc9,0,0,1,0,0,1
b10d422b045805f1c350c47c983381e8,0,1,1,1,0,3
4e8fdc99e77ba1b70d90e124a704d0c1,0,0,0,0,0,0
b562f08327af465e4531e20226789489,0,15,13,1,1,30
4ac99b928a91d8ccb785c9d0b805adb6,1,2,26,0,0,29
99c81f71db35911c79a86a1c5edc5604,1,2,3,0,0,6
e12234b6f1299d178f34bffaca92f043,2,34,29,0,3,68
5a34495280727a5b50b9aa41e14e9a16,0,0,0,0,0,0
9130f9aa3bb037a04c17e6f2630327e5,1,7,20,2,1,31
9a48ca226f82f52d02707b054ebc7e9e,0,1,3,0,0,4
b3bb9f58d3530d33a1a09b6be9e973e0,0,12,9,9,1,31
c2f4e05c01ea0d27934ac7dbc50cbd0c,2,6,11,1,1,21
9a5478470b56379c31cf4e671584d5cc,0,5,10,6,1,22
257715b845828e027ff35dd0f11c971e,3,18,37,20,8,86
910027847876403b57f1013c16504688,1,22,26,4,7,60
06487275cd19694152824c7c3088e8ff,0,0,3,0,0,3
b428c0e64d9b9fdb3bf8e85c95ffdf6b,1,4,6,1,1,13
d085c6749a32517e1fb0d070e4128402,0,2,8,0,0,10
a6aec7b8c25da4c02829cd7839b8933d,0,0,0,0,0,0
c924f6a41b130fad49cfae47271314bc,0,0,0,1,0,1
8e93d0da1ee6caadf21ed9575b5fa9da,0,0,1,0,1,2
9413725a5d3bb5ce2ad0682b07a3ffab,1,5,4,1,0,11
7ed043a19e6a4ece742fe747b663bdbf,0,0,11,3,0,14
ce5dccf5a0f190bb4567a2fd93e7971e,0,23,8,2,2,35
844aa75af0d3235a86ff827c81395afd,0,0,0,0,0,0
1d442ad1a71774c82688a45954e47bfd,0,7,4,2,0,13
2781435bde344e1b64f1bebac6bc9008,0,0,0,0,0,0
e9b37f2d9b7b2e2e3ade73f13acb69b2,2,14,14,0,2,32
fffd87607aaae16fbb1f71615cbe7d17,0,1,1,0,0,2
da8b6e94f90ad41a3f8de10596992372,3,27,10,0,0,40
32f70f7ae14ba87523c6286a6c4d5c37,4,12,5,4,4,29
df5ab349a7a85d4b10da4cc3ec65c607,0,1,2,0,0,3
e0318460138ffbf4692005d5b5a9f900,0,1,9,5,2,17
db51c556fe50ec1deefbc9697c70cb51,2,4,36,1,18,61
58a026f0c506caec20697a4f90538450,0,1,8,1,0,10
0e0aef6fabaa808b3a3cef24657257a4,3,5,11,0,5,24
90c746df94ce1a12f1f617acfe4a8ce3,2,33,35,0,1,71
80b5c12ef21fd47275d37b2c9935249c,0,0,1,1,0,2
899f59a9994302e8e1e4be01117ef707,0,0,0,0,2,2
8d2d5bb3b9142f781f2a7f441e6bad7a,0,0,0,0,0,0
5de0fe55497681d4cc9dd25509cf51ab,0,2,6,0,0,8
2681455ba2d97283998a806b14d3e95c,0,4,8,5,2,19
064a7b39b1dbc4bfc4cf8f454e360c57,0,2,7,0,1,10
9c1397c06e07bf74fc049f1a0872eea0,2,15,21,3,1,42
c64ee19c62a363019ddbaedf71df2882,1,7,8,1,0,17
421516af381a11f54d07fc79be68d3d3,0,1,5,0,0,6
38f045e3f43f86eae42ca4c60257ade0,0,0,0,0,0,0
5ba6e9725b1b0ee8cd25df976e47726b,0,0,1,0,0,1
f90ed7ad754ec04b7852941a480a4c77,0,0,0,0,0,0
abfaf72456a4828a22f5bf60d3a80777,0,2,14,3,0,19
2ff7eb4230654603592ab1b0780ec5e1,0,0,1,0,0,1
ea9485fcdce0611243474d000e4ad248,1,18,20,0,4,43
671ce9e4a92063620f772d2c57f0f3ab,1,3,4,1,0,9
41a55a7e2908fbbd65175b794d26bc8d,0,0,0,0,0,0
a59924f0ff3fb481a7bd8a5e9c36858f,0,0,0,0,0,0
89a0b49a66e54a7639ad960962148a3e,0,2,19,1,1,23
44fc3d58831a9f2b919c7a3a1838b74a,0,1,4,3,1,9
d40db8c27c5bd409d57cfa846f73c378,0,0,0,0,0,0
4990fe5772f3b73eebeec125b41e478e,0,7,14,1,0,22
bf96df77771ef0ed710d8e0e67917f45,0,2,5,0,2,9
e75e83499d3fa2e174dc2a8ffd238119,4,20,5,0,2,31
0438114d2e6b96118de69bc9775bb21e,1,13,5,0,2,21
07b13214cb69f2ec007d888450f3d6bc,0,6,2,0,1,9
f5e8fa1fc4252bda2f93dd27ed2d603f,0,14,20,2,2,38
c2a9c5d0e4578b928554c86f3d2c1162,0,7,13,5,0,25
5f45325fdd6334a4c0d3b62853b19fa6,4,22,27,22,1,76
085a0e120a08a80a58c0ae0ff9da565a,0,0,6,2,0,8
8d5f47f01d7ad668419dfe9b7fe69c9a,0,0,4,2,0,6
bede4b24dae115d4cd43d2e6cc9812cb,1,2,2,0,0,5
680b1ddfd50c4397b365c9c00f09b0d1,0,1,6,0,2,9
b26f83e904f3a778466ebcd763b7316a,0,0,0,0,0,0
6620c54bd6b3a79800b2b67e999b24d0,0,2,5,0,0,7
7f091b50fbbd892bf9fb869a64c47120,0,4,2,2,0,8
57d39a680c9407cda0fb4de6d9c55138,0,0,0,0,0,0
97388f4e4ea102a30345524bda465f4e,0,0,0,0,0,0
066ecc3584913fa035ec1417323beb80,0,0,3,0,1,4
b530d04d393d71cffb8b8b07f4a82380,0,2,4,0,0,6
06bdc4d55f34b2a491305534fd5defda,0,0,1,0,0,1
8e44a17d2fa446ca220b90c7063b42ca,0,0,2,0,0,2
7c17f51469f1a7145455f65ef6afbd87,1,3,1,0,0,5
e1432b72df561a1df34290679ec9c773,0,0,0,0,0,0
549f00f6039e8bb702a00dcca08a8ed0,0,2,3,0,0,5
d8c4fe5e09b6f010fbaa85cc7302d66b,0,0,0,0,0,0
0c42f45e4a14957ad4a6d521d0ba8bc3,0,24,16,0,1,41
62a202eb98c0a4b09ba6746f5ee94ab3,0,4,6,1,1,12
a6c6df138cbc97b9f81e7ffbbebdde6f,0,4,11,2,1,18
04f64fde5ba1ebde8ad78c74914adb34,0,0,0,0,0,0
